heartofengland.coop,Heart of England Co operative Society,CV115BU,heartofengland.lod.coop,,,
hfholidays.coop,HF Holidays,WD6 3SY,hfholidays.lod.coop,,,
highwinds.coop,High Winds Co-op,LA14 2PN,highwinds.lod.coop,,,
hive.coop,The Co-operative Academy of Manchester,SE13SD,hive.lod.coop,,,
hometruths.coop,Hometruths Co-operative Limited,SN10 5QA,hometruths.lod.coop,,,
humane.coop,Humane Limited,SW15 4PF,humane.lod.coop,,,
humanfood.coop,Human Food,SA708AB,humanfood.lod.coop,,,
icmif.coop,ICMIF,WA14 4PD,icmif.lod.coop,,,
inca.coop,Independent Networks Co-operative Association,SK4 3GN,inca.lod.coop,,,
infinityfoods.coop,Infinity Foods Co-operative Ltd,BN43 6PB,infinityfoods.lod.coop,,,
innovate.coop,The Phone Co-op Foundation for Co-operative Innovation Limited,OX7 5EX,innovate.lod.coop,,,
inspiringchange.coop,Inspiring Change,WD4 8BX,inspiringchange.lod.coop,O,,
jazz.coop,Pink Lane Jazz Coop,NE2 3LN,jazz.lod.coop,,,
johncurwen.coop,The John Curwen Co-operative Primary Academy,WF16 9BB,johncurwen.lod.coop,,,
joomo.coop,JooMo Ltd.,RG1 5SB,joomo.lod.coop,,,
jubilee.coop,Jubilee Community Benefit Society,BT40 1DT,jubilee.lod.coop,,,Y
just.coop,Just Cooperate Limited,GL20 5TZ,just.lod.coop,,,
justfilm.coop,Birmingham Co-operative Film Society,B68 8DT,justfilm.lod.coop,,,
keepit.coop,the Co-operative Party,SE1 3SD,keepit.lod.coop,,,
kilbraur.coop,Kilbraur Wind Energy Co-operative,LA14 2PN,kilbraur.lod.coop,,,
labcommunityenergy.coop,Labcommunityenergy,LA14 2PN,labcommunityenergy.lod.coop,,,
ldn.coop,Co-operatives London,E1 5NF,ldn.lod.coop,,,
learners.coop,The Learners Co-operative Ltd,PL4 6YP,learners.lod.coop,,,
leda.coop,LEDA Ltd.,LS9 0DG,leda.lod.coop,,,
ledaarchitects.coop,Leeds Environmental Design Associates Ltd,LE1 6QL,ledaarchitects.lod.coop,,,
leedsbread.coop,Leeds Community Bakery,LS7 2AW,leedsbread.lod.coop,,,
lilac.coop,Lilac Ltd.,LS5 3AG,lilac.lod.coop,,,
lincolnshire.coop,Lincolnshire Co-operative Ltd,LN5 7DB,lincolnshire.lod.coop,,,
lincolnshirecda.coop,Lincolnshire CDA,LN57DB,lincolnshirecda.lod.coop,,,
link.coop,Link Psychology Cooperative Limited,PR2 6XX,link.lod.coop,,,
lipsonco-operativeacademy.coop,Lipson The Co-operative Academy,PL4 7PG,lipsonco-operativeacademy.lod.coop,,,
lister.coop,Lister Housing Co operative Limited,EH3 9EZ,lister.lod.coop,,,
loanfund.coop,ICOF Limited,BS2 8PE,loanfund.lod.coop,,,
londonfashion.coop,London Fashion Coop,NW6 6HY,londonfashion.lod.coop,,,
londonstudent.coop,London Student,WC1E 6EQ,londonstudent.lod.coop,,,
loop.coop,Loop.Coop,BN3 1JW,loop.lod.coop,,,
lordshiphub.coop,Jacobsberg,N17 6HA,lordshiphub.lod.coop,,,
lothianbroadband.coop,Lothian Broadband Limited,EH41 4LE,lothianbroadband.lod.coop,,,
mach.coop,The Machynlleth Housing Cooperative Ltd.,SY208BQ,mach.lod.coop,,,
